ID;sexo;edad;ocupa;reli;sexismo1;sexismo2;sexismo3;sexismo4;conogay;conoles;amigay;amiles;afe1gay;afe2gay;afe3gay;afe4gay;afe1les;afe2les;afe3les;afe4les;homo1gay;homo2gay;homo3gay;homo4gay;homo5gay;homo6gay;homo7gay;homo1les;homo2les;homo3les;homo4les;homo5les;homo6les;homo7les;int1gay;int2gay;int3gay;int4gay;int1les;int2les;int3les;int4les;DD01_01;DD01_02;DD02_01;DD02_02
567;1;22;3;1;3;4;1;2;2;1;2;1;3;3;3;3;3;3;3;2;4;2;4;4;5;5;5;3;4;2;2;2;3;3;4;-99;2;4;4;4;4;4;4;5;5;4
817;1;19;1;-99;1;1;1;1;1;3;0;1;3;4;3;3;3;5;3;3;3;2;2;2;2;2;2;3;1;3;2;2;2;2;4;3;3;3;3;3;3;3;5;5;5;5
455;1;18;1;4;4;3;3;4;0;2;0;0;3;5;3;3;3;5;3;3;1;5;1;1;1;1;1;2;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;4;4
908;0;18;1;4;3;4;3;3;2;3;2;4;3;4;4;4;4;4;4;-99;4;2;3;2;2;2;3;4;2;3;2;2;2;2;3;3;4;4;4;3;4;4;4;5;5;5
785;1;25;1;5;2;3;3;3;2;0;1;0;3;4;4;3;3;4;3;3;5;2;4;5;5;3;4;4;3;5;5;5;3;5;3;3;3;3;3;3;3;3;2;2;4;3
173;1;25;1;6;1;3;1;1;5;0;2;0;3;5;4;4;4;5;4;4;1;1;2;1;2;1;1;1;1;1;1;2;2;1;3;3;3;3;3;3;3;3;5;3;5;5
221;1;25;2;1;1;2;3;2;1;2;0;2;3;4;3;3;3;5;3;3;3;1;3;3;3;3;3;2;1;3;3;3;3;3;4;4;5;5;5;5;5;5;5;5;5;5
621;1;25;1;3;2;1;1;3;2;3;2;2;3;3;3;3;-99;-99;-99;-99;2;2;4;3;3;3;3;-99;-99;-99;-99;-99;-99;-99;3;3;3;3;-99;-99;-99;-99;-99;-99;-99;-99
781;0;25;2;3;2;4;2;2;2;2;3;2;3;4;2;2;3;4;3;3;1;2;2;1;2;1;2;1;2;2;2;2;2;2;3;3;3;4;3;3;3;3;4;4;4;4
888;0;25;1;5;3;2;4;4;2;0;0;0;3;5;3;3;3;5;3;3;3;1;3;3;3;2;2;3;1;3;4;3;2;3;3;3;3;3;3;3;3;3;2;1;4;4
524;1;24;3;5;2;3;3;3;1;0;1;0;3;4;3;3;4;4;3;3;2;3;2;3;3;4;3;1;3;4;4;2;3;3;3;3;3;3;3;3;3;3;4;2;2;4
179;0;24;1;1;3;4;2;1;2;1;0;1;3;4;4;3;4;4;4;4;4;2;5;5;5;1;5;4;1;1;2;2;5;1;3;3;3;3;4;4;3;3;4;2;4;2
191;0;24;1;4;3;4;3;3;2;0;2;0;3;3;4;3;3;3;3;2;4;5;4;5;4;5;5;3;5;4;3;3;3;3;2;2;2;2;2;2;2;3;1;1;3;1
206;0;24;1;2;2;4;2;4;3;1;0;0;3;4;3;3;4;5;4;3;4;1;4;2;4;4;2;1;1;2;2;4;2;2;3;3;3;3;3;3;3;3;4;4;5;5
352;1;24;3;2;2;4;2;2;5;0;4;0;3;3;4;3;3;3;3;3;2;1;2;2;4;2;2;2;1;2;2;2;2;2;3;3;3;3;3;3;3;3;5;5;5;5
375;0;24;1;1;3;4;3;3;1;2;0;1;3;4;3;3;4;4;4;3;3;1;4;2;3;2;3;3;1;4;2;3;3;3;3;3;3;2;3;3;3;3;3;3;4;4
389;0;24;1;1;2;4;2;2;2;0;0;0;3;5;4;4;4;5;4;4;2;1;3;4;3;1;1;2;1;3;3;3;1;1;3;3;3;3;3;3;3;3;3;2;5;5
445;0;24;1;1;1;3;1;1;2;1;0;0;3;3;3;3;3;3;3;3;3;1;3;3;2;3;3;3;1;3;3;3;3;4;3;3;3;3;3;3;3;3;5;5;5;5
584;1;24;3;6;5;4;5;5;1;1;0;0;3;4;3;3;3;4;3;3;3;4;5;4;5;5;5;3;2;5;5;5;5;5;3;3;3;3;3;3;3;3;2;1;4;4
601;1;24;4;5;1;3;1;3;4;0;2;0;3;4;3;3;3;4;3;3;3;2;4;3;4;3;3;3;2;4;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;4
612;0;24;3;1;2;4;4;2;2;0;1;0;3;3;3;3;3;3;3;3;3;1;5;5;5;1;5;1;1;1;5;4;1;5;3;3;3;3;3;3;3;3;5;5;5;5
715;0;24;1;1;1;5;4;5;1;2;0;2;3;3;3;3;4;4;4;4;1;1;3;4;3;5;2;1;1;2;4;1;3;3;3;3;3;3;4;4;4;4;4;4;5;3
725;1;24;1;5;1;3;2;1;0;8;6;2;3;4;3;3;3;3;3;3;2;2;2;2;2;3;2;2;2;2;2;2;3;2;3;3;3;3;3;3;3;3;5;4;5;5
