id,idcntry,mat,len,cie,dep,rur,sex,age,edm,edp,s01,s02,s03,s04,s05,s06,s07,b01,b02,b03,b04,b05,b06,b07,b08,bok,am1,am2,am3,as1,as2,as3,re1,re2,re3,re4,re5,re6,re7,ma1,ma2,ma3,ma4,i01,i02,i03,i04,i05,i06,i07,i08,i09,i10,i11,i12,rep,v01,v02,v03,v04,v05,v06
15261620138,152,676.921933592745,740.260577341231,805.021852741926,1,0,1,12,6,6,1,1,0,0,0,1,1,2,3,1,1,1,3,2,1,4,2,2,2,2,1,1,2,2,3,3,2,3,3,3,3,3,2,3,3,1,3,3,3,2,2,2,2,3,2,1,0,0,0,0,0,0
15260380307,152,894.930726172746,834.710937142608,862.43115157821,0,0,0,12,NA,2,1,1,1,1,1,1,1,3,2,2,1,1,1,2,1,4,2,3,1,1,1,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,2,2,1,0,0,0,0,0,0
15260580108,152,640.185352679978,771.520866736981,803.765730168858,0,1,0,12,3,2,1,1,1,0,1,1,1,1,1,2,3,2,2,3,1,5,2,2,2,1,1,1,2,1,2,3,3,2,3,3,2,3,1,2,2,2,2,2,2,2,2,2,3,3,3,1,0,0,0,0,0,0
15260100115,152,880.048283566667,897.252014371893,749.224327285214,0,0,1,12,2,2,1,1,1,0,0,0,1,3,1,0,2,1,3,1,1,4,2,2,3,1,1,1,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,2,3,3,3,3,3,1,0,0,0,0,0,0
15260060109,152,758.772746464551,673.866863289994,570.654690811188,0,0,0,12,NA,6,1,1,1,0,1,0,1,3,3,0,2,2,3,1,2,5,3,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2,3,2,2,2,2,3,1,3,2,2,2,2,2,1,1,0,0,1,0,0
15230040312,152,712.447327036874,744.68371254908,668.982344976937,1,0,1,12,5,5,1,1,1,1,1,1,1,2,3,2,2,1,2,2,2,6,2,3,NA,2,2,2,3,2,3,3,3,2,2,3,3,3,1,3,3,3,3,2,3,2,2,3,3,2,3,1,0,0,0,0,0,0
15261360123,152,1150,897.252014371893,938.073104651261,1,0,0,12,3,5,1,1,1,0,1,1,1,3,2,1,1,1,0,3,2,5,3,2,2,1,1,1,3,2,3,2,3,3,3,3,3,3,2,2,2,2,3,2,3,2,2,3,3,2,2,1,0,0,0,1,0,0
15261600217,152,678.080195869449,763.331321493914,571.508930465072,1,0,0,12,3,3,1,1,1,1,1,1,1,3,1,2,1,1,0,3,0,4,2,2,2,2,1,1,1,3,3,2,2,2,2,2,2,3,2,2,2,2,3,2,2,3,2,2,2,2,2,1,0,0,0,0,0,0
15261120227,152,760.733568159889,787.895636127489,913.876239201983,1,0,1,12,4,6,1,1,0,1,1,1,1,3,1,3,2,0,3,1,NA,5,2,2,1,1,1,1,2,2,1,1,2,3,2,3,3,3,2,2,2,1,2,1,3,3,2,1,2,3,2,1,0,0,0,0,0,1
15241180104,152,953.681304580454,814.312289019227,862.43115157821,1,0,0,12,5,5,1,1,1,1,1,1,1,3,2,3,1,1,0,3,2,6,2,2,2,1,2,1,2,2,2,2,2,2,2,2,3,3,2,2,2,3,3,3,2,2,2,2,2,2,3,1,0,0,0,1,0,0
15261620113,152,736.928548663219,840.254449590615,754.755959887372,1,0,0,12,3,3,1,1,1,0,1,1,1,2,1,1,1,1,1,2,1,6,3,3,1,1,1,1,2,3,3,2,3,3,3,3,2,2,2,3,3,3,3,1,3,3,3,3,3,3,3,1,0,0,0,0,0,0
15261430108,152,621.545134680542,698.831227300814,467.652971647942,1,0,0,12,NA,NA,1,1,0,1,1,1,1,3,3,2,1,1,0,3,2,1,2,2,2,2,2,3,2,2,3,2,1,1,2,2,2,2,3,2,2,2,2,3,3,2,3,2,2,2,3,1,0,0,0,0,0,0
15261880126,152,763.303074123821,921.2830252568,920.501348268822,1,1,1,13,3,1,1,1,1,1,1,0,1,2,1,1,1,1,1,2,0,5,3,2,2,1,1,1,2,3,3,3,3,3,3,3,3,3,1,3,2,3,3,3,2,3,2,3,2,3,3,1,0,0,0,0,0,0
15261580228,152,708.904429015375,671.774278450193,956.142027903091,1,0,0,13,NA,NA,1,1,0,0,1,1,0,3,3,1,1,1,0,3,1,3,2,2,NA,2,1,1,1,1,2,2,2,1,2,2,2,1,2,2,NA,3,3,3,3,3,3,3,3,3,3,1,0,0,0,0,0,0
