FOLIO,IDG1,IDG2,IGD3,IDG4,ID5,SV,ACT1,ACT2,ACT3,ACT4,ACT5,DIS1,DIS2,DIS3,DIS4,DIS5,AM1,AM2,AM3,AM4,AM5,C1,C2,C3,C4,C5,EN1,EN2,EN3,EN4,EN5,EP1,EP2,EP3,EP4,EP5,AC1,AC2,AC3,AC4,AC5,AC6,AC7,AC8,AC9,AC10,AC11,SEXO,EDAD,NIVED,ESTCIV,PP,PO,ING,REL,FREL
1477,3,3,2,4,4,5,4,4,4,3,4,3,4,2,1,4,2,2,3,3,3,1,1,1,1,1,2,2,3,2,2,3,3,9,2,4,2,2,2,2,2,2,2,2,2,2,2,1,30,8,3,99,10,9,1,1
1478,5,4,1,4,4,10,1,3,2,5,5,5,5,3,1,1,5,2,2,1,1,2,2,2,1,1, , , ,4,4, , , ,1,4,2,2,2,2,2,2,2,2,2,2,2,1,46,9,1,8,10,11,1,1
1479,5,4,1,4,5,10,4,1,4,4,4,4,5,5,4,2,2,9,3,3,1,2,2,9,1,1, , , ,1,1, , , ,3,3,2,2,2,2,2,2,2,2,2,2,2,2,75,5,4,10,10, ,1,2
1480,5,5,1,5,5,6,4,4,4,4,4,4,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,63,4,4,5,10,10,1,1
1481,4,4,2,4,4,5,4,4,4,4,4,3,4,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,57,5,1,99,10,3,1,2
1482,3,4,2,3,3,4,4,4,4,3,4,3,4,3,1,3,3,3,3,3,3,1,1,1,2,1,1,1,2, ,2,4,3,3, ,4,2,2,2,2,2,2,2,2,2,2,2,2,47,5,1,4,10, ,1,2
1483,4,4,2,4,4,4,3,4,3,3,3,3,4,3,2,4,2,2,3,3,2,1,1,1,2,1,1,1,2, ,3,4,3,3, ,4,2,2,2,2,2,2,2,2,2,2,2,2,58,5,1,4,10,4,1,2
1484,4,4,2,4,4,7,4,5,4,4,4,4,4,4,1,1,4,4,4,4,4,2,2,1,1,1, , ,1,1,1, , ,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,51,7,3,88,10, ,1,3
1485,5,4,2,4,4,10,5,5,5,5,5,5,5,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,2,2,2,2,2,2,1,2,2,2,2,2,22,8,3,88,10, ,2,6
2396,3,2,2,3,4,10,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,64,4,1,6,10, ,1,3
2397,4,5,2,3,3,8,3,3,4,3,3,4,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,5,2,2,2,2,2,2,1,2,2,2,2,2,20,8,3,88,10, ,1,3
2398,5,5,1,5,5,10,3,2,3,3,4,4,4,2,3,3,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,61,9,5,88,10,8,1,1
2399,3,4,1,4,3,8,4,4,4,3,4,5,2,2,1,1,2,3,2,2,2,2,2,1,1,1, , ,1,1,1, , ,5,4,3,2,2,2,2,2,2,2,2,2,2,2,1,24,9,3,3,10, ,9, 
2400,2,2,2,3,4,7,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,2,2,2,2,1,1,1,2,2,2,2,2,38,6,3,2,10,9,9, 
1501,4,4,1,5,4,10,4,4,2,3,4,5,5,4,5,5,2,2,3,1,1,1,1,1,1,1,3,3,4,4,5,3,4,1,3,4,2,2,2,2,2,2,2,2,2,2,2,2,40,5,1,4,10, ,1,1
1502,4,4,3,3,3,7,3,4,2,3,4,4,4,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,4,4,1,1,2,2,1,2,2,2,2,2,2,2,20,8,3,1,10, ,9, 
1503,4,4,2,4,4,8,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,1,39,9,1,5,10,9,9, 
1504,4,4,1,4,5,10,4,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,42,4,1,3,10, ,1,2
