ID,affo1,affo2,affo3,outt1,outt2,outt3,famn1,famn2,famn3,clan1,clan2,clan3,natic1,natic2,natic3,idma1,idma2,idma3,qous1,qous2,qous3,qous4,qous5,goufr,ethnia,sex,region,age
186,6,6,6,6,2,-99,7,7,7,6,5,5,7,7,7,7,-99,7,7,6,6,6,7,10,MAP,2,1,15
187,-99,4,5,6,6,6,5,5,4,4,4,4,4,3,4,3,4,3,3,3,2,3,3,5,MAP,1,2,16
188,6,6,4,1,1,3,2,5,7,2,3,5,6,7,7,7,7,7,-99,4,6,7,7,10,MAP,2,2,15
189,5,4,4,5,4,4,5,5,5,5,4,2,-99,2,5,3,1,1,2,4,4,3,2,10,MAP,1,2,15
190,7,-99,7,5,1,6,-99,4,1,7,6,6,-99,7,6,7,5,6,7,7,7,7,7,9,MAP,1,2,15
191,5,6,5,3,5,4,5,7,5,3,3,6,4,4,4,3,1,1,3,4,4,3,4,-99,MAP,1,2,16
192,-99,7,7,4,2,2,7,7,7,7,7,7,7,7,7,3,2,2,6,5,5,5,-99,-99,MAP,2,2,15
193,5,4,5,6,7,4,5,5,5,5,5,5,-99,6,7,7,7,7,7,7,6,6,6,0,MAP,2,2,15
194,7,5,4,3,6,3,-99,1,1,3,5,3,7,7,7,2,2,2,7,6,7,6,-99,10,MAP,1,2,16
195,5,4,3,4,3,4,5,5,6,4,4,4,5,6,6,5,4,4,4,3,3,3,4,10,MAP,2,2,14
196,4,-99,5,6,5,-99,6,7,6,7,6,6,6,5,5,4,5,5,5,6,6,7,5,6,MAP,2,2,14
197,6,5,-99,4,1,-99,7,7,7,7,7,6,7,7,7,4,1,7,5,7,-99,6,6,10,MAP,2,2,15
198,7,7,5,2,4,5,7,5,7,7,5,5,5,7,7,7,5,7,7,7,5,-99,7,10,MAP,1,2,17
199,6,7,7,6,1,7,7,6,6,1,7,7,7,4,6,1,1,1,7,7,7,7,7,10,MAP,2,1,14
200,6,5,3,1,7,2,7,-99,3,7,6,5,6,7,7,7,7,7,-99,7,7,7,-99,8,MAP,2,1,15
